id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_url_direct,job_type,interval,currency,description,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_industry,company_num_employees,company_revenue,relevance_score
li-4416611022,linkedin,https://www.linkedin.com/jobs/view/4416611022,Data Scientist_ML (India),Hypersonix Inc.,"Bengaluru, Karnataka, India",2026-05-19,False,,https://www.linkedin.com/company/hypersonix-ai,,,,,,,,,,,,,,,,10
li-4416683531,linkedin,https://www.linkedin.com/jobs/view/4416683531,"Biology - Graduates - AI Training - Long Beach, US",Prolific,"Long Beach, CA",2026-05-19,False,,https://uk.linkedin.com/company/prolific-com,,,,,,,,,,,,,,,,10
li-4416958355,linkedin,https://www.linkedin.com/jobs/view/4416958355,"Data Entry Clerk - Graduates - AI Training - New York, US",Prolific,"New York, NY",2026-05-19,False,,https://uk.linkedin.com/company/prolific-com,,,,,,,,,,,,,,,,10
li-4394476892,linkedin,https://www.linkedin.com/jobs/view/4394476892,AI/ML Engineer,Accenture UK & Ireland,"Dublin, County Dublin, Ireland",2026-05-19,False,,https://uk.linkedin.com/company/accenture-uk-ireland,,,,,,,,,,,,,,,,10
li-4412870607,linkedin,https://www.linkedin.com/jobs/view/4412870607,Data Scientist 4/5 - Identity DSE,Netflix,,2026-05-19,False,,https://www.linkedin.com/company/netflix,,,,,,,,,,,,,,,,10
li-4416908636,linkedin,https://www.linkedin.com/jobs/view/4416908636,Data Scientist,Beacon Hill,,2026-05-19,False,,https://www.linkedin.com/company/beacon-hill-bhsg,,,,,,,,,,,,,,,,10
li-4415940990,linkedin,https://www.linkedin.com/jobs/view/4415940990,Data Analyst,Refocus LLC,"New York, United States",2026-05-19,False,,https://www.linkedin.com/company/infokeyz,,,,,,,,,,,,,,,,10
li-4416647216,linkedin,https://www.linkedin.com/jobs/view/4416647216,Data Analyst - Freelance,Bitrock,,2026-05-19,False,,https://it.linkedin.com/company/bitrock-srl,,,,,,,,,,,,,,,,10
li-4413331146,linkedin,https://www.linkedin.com/jobs/view/4413331146,Data Analyst,Smart Consulting,,2026-05-19,False,,https://pt.linkedin.com/company/thesmartwaytodoit,,,,,,,,,,,,,,,,10
li-4415930747,linkedin,https://www.linkedin.com/jobs/view/4415930747,Data Analyst,Produce Careers Inc.,,2026-05-19,False,,https://www.linkedin.com/company/produce-careers-inc,,,,,,,,,,,,,,,,10
li-4416946534,linkedin,https://www.linkedin.com/jobs/view/4416946534,Data Scientist,DoorDash,"Melbourne, Victoria, Australia",2026-05-19,False,,https://www.linkedin.com/company/doordash,,,,,,,,,,,,,,,,10
li-4405967633,linkedin,https://www.linkedin.com/jobs/view/4405967633,ML Engineer (AI/ML Lab),Changi Airport Group,"Singapore, Singapore",2026-05-18,False,,https://sg.linkedin.com/company/changiairportgroup,,,,,,,,,,,,,,,,10
li-4415708259,linkedin,https://www.linkedin.com/jobs/view/4415708259,Javascript Developer - Remote Work,BairesDev,"Cairo, Egypt",2026-05-18,True,,https://www.linkedin.com/company/bairesdev,,,,,,,,,,,,,,,,10
li-4415690454,linkedin,https://www.linkedin.com/jobs/view/4415690454,Fullstack Python Developer - Remote Work,BairesDev,,2026-05-18,True,,https://www.linkedin.com/company/bairesdev,,,,,,,,,,,,,,,,10
li-4416420457,linkedin,https://www.linkedin.com/jobs/view/4416420457,Data Analyst,HD Intelligence,,2026-05-18,False,,https://www.linkedin.com/company/hd-intelligence,,,,,,,,,,,,,,,,10
li-4416208300,linkedin,https://www.linkedin.com/jobs/view/4416208300,Data Analyst (Google Analytics),Altimetrik,,2026-05-18,False,,https://www.linkedin.com/company/altimetrik,,,,,,,,,,,,,,,,10
li-4404432953,linkedin,https://www.linkedin.com/jobs/view/4404432953,Marketing Data Analyst,Palm Outsourcing,,2026-05-18,False,,https://uk.linkedin.com/company/palm-outsourcing,,,,,,,,,,,,,,,,10
li-4302023020,linkedin,https://www.linkedin.com/jobs/view/4302023020,AI Developer,Coca-Cola HBC,"New Cairo, Cairo, Egypt",2026-05-17,False,,https://ch.linkedin.com/company/coca-cola-hbc,,,,,,,,,,,,,,,,10
li-4416029510,linkedin,https://www.linkedin.com/jobs/view/4416029510,AI Data Fabric Engineer,Talent 360 ME,"Qesm El Maadi, Cairo, Egypt",2026-05-17,False,,https://eg.linkedin.com/company/talent-360-me,,,,,,,,,,,,,,,,10
li-4416059192,linkedin,https://www.linkedin.com/jobs/view/4416059192,Machine learning Architect,Intellias,"Cairo, Egypt",2026-05-17,False,,https://www.linkedin.com/company/intellias,,,,,,,,,,,,,,,,10
